name,license_plate,fuel_type,mileage,last_service_date,partner_id
"Delivery Truck Alpha","TRK-001","diesel",45000,"2024-01-15",""
"Sales Representative Car","SALES-001","gasoline",18500,"2024-03-20",""
"Executive Limousine","EXEC-001","gasoline",8500,"2024-04-10",""
"Electric Delivery Van","ELEC-001","electric",0,"2024-02-28",""
"Maintenance Vehicle","MAINT-001","diesel",32000,"2024-01-05",""
"Company Pool Sedan","POOL-001","gasoline",22000,"2024-03-15",""
"Hybrid SUV","HYBRID-001","gasoline",15000,"2024-04-01",""
"Electric Scooter","SCOOT-001","electric",0,"2024-03-30",""
"Fleet Manager Car","MGMT-001","gasoline",12500,"2024-04-05",""
"Service Technician Van","TECH-001","diesel",28000,"2024-02-10",""
"Marketing Team Car","MKT-001","gasoline",19500,"2024-03-25",""
"HR Department Vehicle","HR-001","gasoline",11000,"2024-04-12",""
"IT Support Van","IT-001","diesel",35000,"2024-01-20",""
"Finance Team Car","FIN-001","gasoline",16500,"2024-03-18",""
"Operations Truck","OPS-001","diesel",42000,"2024-02-05",""
"Electric Bike","BIKE-001","electric",0,"2024-04-01",""
"Company Golf Cart","GOLF-001","electric",0,"2024-03-28",""
"Security Patrol Car","SEC-001","gasoline",18000,"2024-04-08",""
"Facilities Maintenance Van","FAC-001","diesel",38000,"2024-01-12",""
"Executive Assistant Car","EA-001","gasoline",9500,"2024-04-15","" 